plotID,explo,clay,silt,sand,organic,bulk,rootdepth
AEG33,A,59.7,38.8,1.5,5.14,0.79,70.0
AEG34,A,42.3,55.4,2.3,4.71,0.85,70.0
AEG35,A,44.6,50.3,5.1,4.1,0.92,70.0
AEG36,A,58.8,21.3,19.9,5.54,0.76,70.0
AEG37,A,56.6,33.4,10.0,6.57,0.89,70.0
AEG38,A,45.1,46.8,8.1,5.21,0.87,70.0
AEG39,A,46.3,49.3,4.4,6.96,0.7988356164383561,70.0
AEG40,A,69.8,26.9,3.3,7.28,0.73,70.0
AEG41,A,54.1,40.7,5.2,4.65,0.93,70.0
AEG42,A,15.9,75.7,8.4,8.66,0.74,70.0
AEG43,A,61.3,34.9,3.8,7.66,0.69,70.0
AEG44,A,15.2,73.5,11.3,6.77,0.89,70.0
AEG45,A,52.9,41.7,5.4,5.75,0.9,70.0
AEG46,A,65.9,28.7,5.4,7.49,0.69,70.0
AEG47,A,14.6,70.4,15.0,6.07,0.78,70.0
AEG48,A,29.5,56.5,14.0,4.44,0.89,70.0
AEG49,A,45.1,52.2,2.7,5.2,0.69,70.0
AEG50,A,58.9,38.2,2.9,7.29,0.76,70.0
HEG01,H,50.2,44.7,5.0,5.61,0.68,160.0
HEG02,H,55.2,39.6,5.2,3.64,0.76,200.0
HEG03,H,54.4,39.9,5.7,3.45,0.74,180.0
HEG04,H,51.1,41.4,7.5,6.7,0.7,160.0
HEG05,H,45.4,49.7,4.9,4.52,0.92,300.0
HEG06,H,25.7,69.8,4.5,2.11,0.7988356164383561,200.0
HEG07,H,53.6,43.4,3.0,5.76,0.7988356164383561,150.0
HEG08,H,49.4,45.2,5.6,5.9,0.74,120.0
HEG09,H,38.7,53.7,7.6,4.22,0.83,160.0
HEG10,H,43.6,53.2,3.0,4.51,0.81,170.0
HEG11,H,55.2,40.5,4.3,5.87,0.75,170.0
HEG12,H,49.7,44.8,5.5,7.81,0.92,170.0
HEG13,H,39.4,53.6,7.0,3.65,0.86,170.0
HEG14,H,45.0,49.1,6.0,4.02,0.83,170.0
HEG15,H,52.8,43.5,3.8,5.55,0.74,170.0
HEG16,H,55.5,40.5,3.9,6.69,0.43,170.0
HEG17,H,54.6,41.9,3.2,5.56,0.7,170.0
HEG18,H,45.7,44.6,9.7,4.98,0.67,170.0
HEG19,H,48.5,42.7,8.7,6.45,0.62,170.0
HEG20,H,23.9,66.1,10.2,2.77,0.81,170.0
HEG21,H,31.1,63.1,5.8,3.28,0.71,170.0
HEG22,H,44.6,46.7,8.7,4.95,0.94,170.0
HEG23,H,58.8,37.5,3.7,4.9,0.7,170.0
HEG24,H,54.5,40.4,5.2,4.99,0.89,170.0
HEG25,H,42.3,53.1,4.6,5.75,0.76,170.0
HEG26,H,48.1,45.8,6.1,4.91,0.74,170.0
HEG27,H,49.2,47.2,3.6,4.6,0.87,170.0
HEG28,H,53.6,40.9,5.5,3.33,0.81,170.0
HEG29,H,46.9,50.1,3.0,3.06,0.61,170.0
HEG30,H,40.0,54.8,5.2,3.65,0.79,170.0
HEG31,H,23.7,72.6,3.6,4.25,0.91,170.0
HEG32,H,34.0,64.0,1.7,4.1,0.96,170.0
HEG33,H,35.3,61.8,2.9,4.12,0.87,170.0
HEG34,H,44.8,46.9,8.3,3.5,0.88,170.0
HEG35,H,30.7,58.0,11.3,4.7,0.85,170.0
HEG36,H,6.1,87.1,7.1,5.55,0.75,170.0
HEG37,H,6.0,84.1,9.9,5.5,0.65,170.0
HEG38,H,31.0,62.2,6.8,2.93,1.07,170.0
HEG39,H,35.1,53.7,11.0,3.96,0.83,170.0
HEG40,H,27.5,64.8,7.9,6.32,0.71,170.0
HEG41,H,51.8,41.7,6.5,4.14,0.76,170.0
HEG42,H,43.5,52.0,4.6,4.35,0.78,170.0
HEG43,H,37.6,58.9,3.8,4.74,0.71,170.0
HEG44,H,7.9,85.3,6.9,8.34,0.7988356164383561,170.0
HEG45,H,49.2,46.8,4.3,4.6,0.85,170.0
HEG46,H,39.5,53.1,7.4,2.66,0.96,170.0
HEG47,H,48.3,47.7,4.0,5.74,0.71,170.0
HEG48,H,46.5,48.8,5.0,4.31,0.81,170.0
HEG49,H,43.1,50.0,7.1,4.83,0.8,170.0
HEG50,H,64.6,33.5,2.3,4.72,0.71,170.0
SEG01,S,23.3,46.6,30.1,22.24,0.41,295.0
SEG02,S,19.8,52.7,27.5,13.56,0.64,295.0
SEG03,S,8.9,60.0,31.1,9.36,0.68,295.0
SEG04,S,16.3,68.6,15.1,14.38,0.47,295.0
SEG05,S,16.2,57.5,26.3,11.76,0.51,295.0
SEG06,S,24.8,28.4,46.8,29.97,0.39,295.0
SEG07,S,15.7,64.8,19.5,11.75,0.79,410.0
SEG08,S,11.0,71.3,17.7,7.98,0.63,295.0
SEG09,S,17.1,14.3,68.6,24.7,0.51,295.0
SEG10,S,18.3,51.6,30.1,15.06,0.46,295.0
SEG11,S,13.7,55.2,31.1,11.59,0.6,295.0
SEG12,S,13.8,54.8,31.4,10.77,0.58,295.0
SEG13,S,4.1,32.4,63.5,3.34,1.29,295.0
SEG14,S,16.9,62.5,20.6,10.53,0.55,295.0
SEG15,S,19.1,59.3,21.6,13.87,0.49,295.0
SEG16,S,17.8,65.5,16.7,14.45,0.45,295.0
SEG17,S,37.4,34.8,27.8,38.28,0.27,295.0
SEG18,S,6.5,8.9,84.6,1.49,1.39,295.0
SEG19,S,8.7,55.3,36.0,7.68,0.53,295.0
SEG20,S,30.7,30.4,38.9,28.14,0.41,295.0
SEG21,S,27.8,31.0,41.2,29.28,0.47,295.0
SEG22,S,9.3,63.6,27.1,6.43,0.75,295.0
SEG23,S,37.3,46.1,16.6,31.03,0.42,295.0
SEG24,S,28.3,50.4,21.3,22.02,0.39,295.0
SEG25,S,17.6,20.6,61.8,20.55,0.48,295.0
SEG26,S,42.7,35.3,22.0,32.58,0.36,295.0
SEG27,S,41.6,41.7,16.7,40.15,0.28,295.0
SEG28,S,17.5,65.1,17.4,14.98,0.53,295.0
SEG29,S,19.5,69.4,11.0,13.42,0.43,295.0
SEG30,S,14.6,34.3,51.1,2.96,1.18,295.0
SEG31,S,18.2,28.1,53.7,2.86,1.16,295.0
SEG32,S,19.0,23.4,57.6,2.43,1.25,295.0
SEG33,S,11.8,26.5,61.7,1.83,1.28,295.0
SEG34,S,13.8,27.3,58.9,1.85,1.3,295.0
SEG35,S,20.0,23.8,56.2,2.31,1.3,295.0
SEG36,S,13.9,30.1,56.0,2.44,1.06,295.0
SEG37,S,9.3,9.9,80.8,1.23,1.39,295.0
SEG38,S,8.9,7.2,83.8,2.29,1.27,295.0
SEG39,S,22.5,23.7,53.8,1.69,1.37,295.0
SEG40,S,9.8,19.2,71.0,2.14,1.33,295.0
SEG41,S,13.6,18.5,67.9,2.08,1.29,295.0
SEG42,S,11.7,28.9,59.4,1.87,1.38,295.0
SEG43,S,13.1,12.1,74.8,1.96,1.3,295.0
SEG44,S,11.3,18.9,69.8,2.19,1.3,295.0
SEG45,S,10.0,23.4,66.6,1.9,1.11,295.0
SEG46,S,14.6,21.0,64.4,2.45,1.09,295.0
SEG47,S,18.6,25.5,55.9,2.32,1.26,295.0
SEG48,S,13.0,12.0,75.0,1.76,1.4,295.0
SEG49,S,10.6,37.2,52.2,2.1,1.12,295.0
SEG50,S,9.2,11.2,79.6,2.31,1.12,295.0
